playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8477968,2024,Alex Nedeljkovic,PIT,G,5on5,13,38658.0,25.96,32.0,593.0,19.38,34.0,77.93,55.0,308.62,301.0,12.68,1.0,165.31,130.0,124.05,171.0,24.99,316.0,83.0,24.0,8.81,10.28,6.87,14.0,13.0,5.0,170.0,0.0,0.0
8477968,2024,Alex Nedeljkovic,PIT,G,4on5,13,3946.0,9.0,8.0,102.0,4.61,6.0,12.45,15.0,56.82,53.0,0.21,0.0,32.07,24.0,17.07,24.0,8.02,56.0,9.0,12.0,1.38,1.34,6.28,0.0,1.0,7.0,25.0,0.0,0.0
8477968,2024,Alex Nedeljkovic,PIT,G,5on4,13,3790.0,1.1,0.0,20.0,0.61,2.0,2.27,4.0,14.93,13.0,2.21,0.0,4.62,1.0,10.94,13.0,1.07,15.0,5.0,0.0,0.46,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477967,2024,Thatcher Demko,VAN,G,other,1,120.0,0.15,1.0,4.0,0.14,0.0,0.66,2.0,2.4,3.0,0.02,0.0,0.97,0.0,1.0,0.0,0.15,2.0,1.0,0.0,0.06,0.09,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8477967,2024,Thatcher Demko,VAN,G,all,1,3647.0,2.83,4.0,52.0,1.93,1.0,6.42,9.0,27.2,25.0,0.86,0.0,14.44,8.0,10.55,15.0,2.8,28.0,3.0,6.0,0.82,0.27,1.75,1.0,2.0,1.0,15.0,0.0,0.0
8477967,2024,Thatcher Demko,VAN,G,5on5,1,3149.0,1.97,1.0,41.0,1.42,1.0,5.06,6.0,20.32,17.0,0.44,0.0,10.37,6.0,7.59,13.0,1.95,20.0,2.0,5.0,0.64,0.18,1.16,0.0,1.0,0.0,14.0,0.0,0.0
8477967,2024,Thatcher Demko,VAN,G,4on5,1,155.0,0.64,1.0,6.0,0.33,0.0,0.62,1.0,3.77,4.0,0.0,0.0,2.88,2.0,1.4,2.0,0.63,5.0,0.0,1.0,0.05,0.0,0.59,0.0,0.0,1.0,0.0,0.0,0.0
8477967,2024,Thatcher Demko,VAN,G,5on4,1,223.0,0.07,1.0,1.0,0.04,0.0,0.09,0.0,0.7,1.0,0.4,0.0,0.23,0.0,0.56,0.0,0.07,1.0,0.0,0.0,0.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8476999,2024,Linus Ullmark,OTT,G,other,19,2430.0,6.9,3.0,77.0,3.07,9.0,8.37,3.0,40.85,39.0,0.66,0.0,23.92,21.0,12.13,20.0,5.01,37.0,7.0,12.0,1.37,0.95,4.59,1.0,0.0,2.0,21.0,0.0,0.0
8476999,2024,Linus Ullmark,OTT,G,all,19,64895.0,50.43,46.0,1010.0,35.07,60.0,126.71,108.0,516.88,506.0,19.62,2.0,286.03,231.0,198.07,265.0,45.05,531.0,128.0,55.0,14.78,16.21,19.44,18.0,15.0,13.0,296.0,0.0,0.0
8476999,2024,Linus Ullmark,OTT,G,5on5,19,51555.0,32.75,34.0,787.0,25.3,44.0,102.19,83.0,396.42,388.0,15.64,2.0,216.74,170.0,159.42,216.0,31.33,424.0,96.0,30.0,11.75,12.19,8.8,17.0,10.0,7.0,237.0,0.0,0.0
8476999,2024,Linus Ullmark,OTT,G,4on5,19,4932.0,10.56,9.0,134.0,6.5,7.0,14.96,21.0,73.55,75.0,0.41,0.0,43.45,37.0,22.24,25.0,8.5,63.0,24.0,13.0,1.54,2.97,6.05,0.0,5.0,4.0,34.0,0.0,0.0
8476999,2024,Linus Ullmark,OTT,G,5on4,19,5978.0,0.12,0.0,11.0,0.17,0.0,1.04,1.0,5.25,3.0,2.86,0.0,1.63,3.0,3.91,3.0,0.12,7.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
8478009,2024,Ilya Sorokin,NYI,G,other,21,1930.0,6.97,9.0,93.0,3.56,6.0,9.73,5.0,49.79,48.0,0.76,0.0,27.06,22.0,16.03,23.0,6.51,42.0,12.0,11.0,1.79,1.72,3.47,1.0,2.0,6.0,28.0,0.0,0.0
8478009,2024,Ilya Sorokin,NYI,G,all,21,74731.0,60.26,55.0,1270.0,43.28,62.0,159.11,104.0,659.27,608.0,20.84,0.0,357.01,279.0,260.34,400.0,58.67,692.0,146.0,64.0,20.03,18.5,21.72,18.0,18.0,19.0,368.0,0.0,0.0
8478009,2024,Ilya Sorokin,NYI,G,5on5,21,62979.0,41.51,30.0,1041.0,33.39,48.0,134.66,86.0,533.09,483.0,16.3,0.0,287.99,233.0,216.43,333.0,40.62,578.0,117.0,37.0,16.15,14.69,10.68,14.0,14.0,2.0,309.0,0.0,0.0
8478009,2024,Ilya Sorokin,NYI,G,4on5,21,4529.0,10.47,15.0,115.0,5.63,6.0,12.72,13.0,63.59,63.0,0.52,0.0,37.84,22.0,19.41,32.0,10.26,59.0,15.0,14.0,1.59,1.92,6.96,2.0,2.0,11.0,27.0,0.0,0.0
8478009,2024,Ilya Sorokin,NYI,G,5on4,21,5293.0,1.31,1.0,21.0,0.7,2.0,1.99,0.0,12.8,14.0,3.26,0.0,4.12,2.0,8.47,12.0,1.27,13.0,2.0,2.0,0.51,0.18,0.62,1.0,0.0,0.0,4.0,0.0,0.0
8479292,2024,Charlie Lindgren,WSH,G,other,14,2279.0,3.22,2.0,55.0,2.18,2.0,5.68,10.0,27.41,22.0,0.49,0.0,17.48,15.0,8.46,9.0,2.71,25.0,10.0,3.0,0.89,1.29,1.03,1.0,0.0,1.0,17.0,0.0,0.0
8479292,2024,Charlie Lindgren,WSH,G,all,14,50029.0,36.09,37.0,822.0,27.02,30.0,96.36,82.0,403.37,374.0,14.71,0.0,222.31,194.0,158.9,210.0,34.36,410.0,106.0,38.0,11.37,13.35,11.37,15.0,9.0,13.0,268.0,0.0,0.0
8479292,2024,Charlie Lindgren,WSH,G,5on5,14,39312.0,23.67,28.0,612.0,18.06,20.0,73.27,58.0,291.49,273.0,11.95,0.0,158.12,136.0,118.29,159.0,23.08,306.0,70.0,25.0,8.03,9.02,6.62,13.0,7.0,8.0,211.0,0.0,0.0
8479292,2024,Charlie Lindgren,WSH,G,4on5,14,4534.0,8.02,6.0,136.0,6.17,7.0,15.39,13.0,70.61,65.0,0.47,0.0,42.49,41.0,22.58,29.0,7.4,66.0,23.0,8.0,2.13,2.65,3.23,1.0,1.0,4.0,39.0,0.0,0.0
8479292,2024,Charlie Lindgren,WSH,G,5on4,14,3904.0,1.18,1.0,19.0,0.61,1.0,2.02,1.0,13.87,14.0,1.8,0.0,4.22,2.0,9.57,13.0,1.17,13.0,3.0,2.0,0.32,0.38,0.49,0.0,1.0,0.0,1.0,0.0,0.0
8476945,2024,Connor Hellebuyck,WPG,G,other,24,2329.0,6.0,6.0,70.0,3.02,7.0,8.2,3.0,37.99,36.0,0.84,0.0,19.56,19.0,11.89,15.0,5.52,30.0,10.0,10.0,1.04,1.2,3.76,0.0,2.0,4.0,20.0,0.0,0.0
8476945,2024,Connor Hellebuyck,WPG,G,all,24,86658.0,68.95,51.0,1444.0,51.79,106.0,191.57,161.0,759.93,690.0,23.6,0.0,409.65,332.0,301.64,398.0,65.23,794.0,177.0,79.0,21.45,22.46,25.04,19.0,12.0,20.0,394.0,0.0,0.0
8476945,2024,Connor Hellebuyck,WPG,G,5on5,24,72572.0,50.07,33.0,1163.0,38.73,80.0,157.22,139.0,604.41,545.0,19.3,0.0,330.83,273.0,245.29,316.0,47.79,653.0,142.0,48.0,17.88,18.06,14.13,15.0,9.0,9.0,320.0,0.0,0.0
8476945,2024,Connor Hellebuyck,WPG,G,4on5,24,5670.0,10.94,11.0,174.0,8.96,18.0,22.4,17.0,94.08,83.0,0.21,0.0,51.57,37.0,27.69,42.0,10.03,86.0,21.0,18.0,1.95,2.64,6.35,4.0,1.0,6.0,49.0,0.0,0.0
8476945,2024,Connor Hellebuyck,WPG,G,5on4,24,6087.0,1.87,1.0,35.0,1.04,1.0,3.52,2.0,22.18,24.0,3.19,0.0,7.14,3.0,15.72,23.0,1.82,23.0,4.0,3.0,0.51,0.56,0.8,0.0,0.0,1.0,5.0,0.0,0.0
8480280,2024,Jeremy Swayman,BOS,G,other,21,1953.0,3.44,5.0,55.0,2.04,3.0,5.85,4.0,26.92,24.0,0.77,0.0,14.99,11.0,8.58,12.0,3.34,24.0,8.0,4.0,1.04,1.0,1.4,1.0,2.0,2.0,19.0,0.0,0.0
8480280,2024,Jeremy Swayman,BOS,G,all,21,73864.0,55.39,67.0,1135.0,38.87,56.0,146.06,130.0,599.39,587.0,19.76,2.0,323.48,233.0,241.79,338.0,53.24,622.0,145.0,59.0,16.52,18.12,20.75,25.0,23.0,19.0,309.0,0.0,0.0
8480280,2024,Jeremy Swayman,BOS,G,5on5,21,56878.0,31.44,38.0,851.0,26.93,40.0,115.87,98.0,445.44,433.0,14.1,2.0,244.65,173.0,182.94,267.0,30.67,497.0,97.0,23.0,12.86,12.14,6.45,20.0,13.0,5.0,234.0,0.0,0.0
